"","Phi","Theta"
"1",2.19403591199902,1.82184550225556
"2",2.01018062022334,2.93103681420985
"3",2.08423783500217,2.18440413869334
"4",2.2933892875459,0.24399650039852
"5",1.43957945190402,0.91043012650388
"6",1.83063059053581,1.93224927048896
"7",1.6296002186824,2.36386766604969
"8",1.86213611529635,2.52000418901647
"9",1.92585336135019,1.73874920627505
"10",2.419729159273,2.53695929850537
"11",1.57960716120387,1.8231157904509
"12",1.65296745959734,2.05742237081035
"13",1.50003601043559,1.95760619576843
"14",1.64562388131337,0.662629673311163
"15",2.04893334014644,2.24489214461216
"16",1.97556337799487,1.77514587696296
"17",1.91157420909065,2.45023688230644
"18",1.55200785078808,1.17437648402664
"19",2.47378411474697,1.06163331551121
"20",0.793429448743301,2.71130310140683
"21",0.846029392552597,2.00424495302974
"22",1.8585271603721,1.98686451132972
"23",0.491576116655148,2.89256292649296
"24",1.30764015851115,1.99862110828857
"25",1.70052493947513,1.90119950261228
"26",0.781216908700341,1.57688984318428
"27",1.16600111568861,1.56698048344019
"28",1.50848853338164,2.72123325555505
"29",2.0145340054277,1.57890358518428
"30",2.01126136729121,2.29051679778035
"31",1.45178395495973,1.36975453828829
"32",1.98278904793519,2.10865290707376
"33",2.11841208894598,2.48648449095549
"34",2.16797381502295,2.49578131673916
"35",2.07166055155023,2.22038212491576
"36",1.99831797724166,1.65566464056347
"37",2.19676036615256,1.34976409561913
"38",1.36632518049616,1.93179815965578
"39",1.44345687585996,2.53638341169733
"40",1.98415724747314,2.39478039940818
"41",2.3416362375096,1.51703731336169
"42",2.01391201188029,1.88080535475248
"43",1.04131201192396,1.40046596529203
"44",0.952921350335566,2.40390862702317
"45",2.29194058982099,1.89343638645286
"46",1.90471894046414,2.2941846047111
"47",2.6066150195082,0.573124934096454
"48",1.46628655236144,1.28212799256688
"49",1.29857154184744,1.86532394315294
"50",1.52140551105717,1.00229132965924
"51",1.93589625692441,0.282902741541898
"52",2.2203494565811,1.91466261499775
"53",1.90921537378418,1.96360718941264
"54",2.01225747469373,1.52943468008506
"55",1.77839465412141,2.02101646598329
"56",1.42613484326036,0.75353385023752
"57",2.22666885095287,1.59472972025605
"58",1.30164577771122,1.77083107302138
"59",2.77847075116591,1.32920331161869
"60",1.91233253004503,1.46841804184815
"61",1.38190876396087,1.86290218203064
"62",2.20484302707003,2.86187511686041
"63",2.51038566068775,1.37896848701775
"64",1.67000900823234,1.98906489277804
"65",1.18709412321786,1.92352754311617
"66",1.45283326817415,1.72383468198382
"67",0.837506565706914,2.61071318457864
"68",1.89129130164026,2.63794505579682
"69",1.97159655254647,1.87973256530265
"70",2.25377268744594,2.0310895392998
"71",2.27332679244507,2.75386233517875
"72",2.03939724169199,2.18751194956786
"73",2.17139196912304,1.61030472264705
"74",1.1933971722842,1.47879001129956
"75",1.96548427790126,0.656717398244945
"76",2.12523381966577,2.91281754879258
"77",0.750013717468831,2.65434483499391
"78",1.0161671944604,0.440830327788798
"79",1.44660921030551,1.94756698235643
"80",1.76550840375813,2.64674801086844
"81",1.43563902872628,2.41496057162258
"82",2.26124771087369,1.57270536798062
"83",1.71780007251662,2.66359304664872
"84",1.54486279679121,2.60887904869526
"85",1.88739159781525,1.36858047313375
"86",1.65114761000407,2.06141474468937
"87",1.86230524299543,2.44132006654438
"88",2.07072716840251,2.04262373661037
"89",2.31209403869384,1.71138142570772
"90",1.73160644726345,2.03054675457351
"91",1.08922403898829,1.69740131815364
"92",2.37650968219393,1.36927938101688
"93",2.28996544072742,1.32634254480478
"94",1.41300878706588,3.34367132349203
"95",2.53567155175255,2.73399449880767
"96",1.75197854090064,2.5408619452784
"97",1.98620739852692,1.9230874872421
"98",2.35944516265633,1.3097323792605
"99",1.73260337337427,3.21516973872554
"100",1.95178528531134,2.50997511730243
"101",2.26598446153543,0.743551783812846
"102",2.51994364084697,2.02751339622
"103",1.48523968980754,1.01790879200187
"104",1.78452374318627,1.00013796128473
"105",1.84998393180886,2.43587598118646
"106",1.69689325666109,1.99642538619336
"107",1.81946128401299,2.2230575748876
"108",1.99750302816649,2.03386972046167
"109",2.33943470840823,2.11383075570896
"110",2.37757082100528,1.84095700679757
"111",1.42196055524659,2.11820455054371
"112",1.66244387052971,2.55027849714173
"113",1.18123524843092,2.100462579621
"114",2.20880105654227,1.1836564623463
"115",1.62464777996035,2.16502047038208
"116",1.79796036957075,2.27741452506369
"117",1.1670411064488,1.40092134099189
"118",1.71524571193643,2.24851185930814
"119",1.08852540041006,2.47805093930979
"120",2.03526435572658,0.808030319833046
"121",1.73667369689353,2.39184580590448
"122",1.83785089306698,1.82159102436412
"123",1.27345687808183,2.47556399780077
"124",1.30920818555268,1.61789279155353
"125",1.40859884529616,1.6878455212146
"126",1.23675129041891,2.21284060284235
"127",1.3960034245058,2.09835920276478
"128",2.0722813211571,1.1605091476128
"129",1.06323783643803,2.48586942459964
"130",2.44116468790942,1.74538188344237
"131",2.15833197057172,1.86639802428698
"132",1.84517918142416,1.82750639035879
"133",1.86054585329867,1.93218049247555
"134",2.30427236204063,1.66677796644465
"135",1.68788847104911,2.55069779205514
"136",1.20841688956906,1.68485346200412
"137",2.04117273067041,1.86833643386556
"138",2.04820801665584,2.13027652213986
"139",1.99129983763286,1.48782312412149
"140",1.73653371686435,2.44729030126159
"141",1.63999884400903,3.01566752133492
"142",1.95965093742653,0.982514292799017
"143",1.4753812609866,2.25597772854074
"144",1.56690089908205,2.48397891688299
"145",2.02927853493251,1.14734334752321
"146",1.45650431493171,1.12541822981816
"147",0.0124323855521238,1.15652458893605
"148",1.35784339005724,1.86050402228887
"149",1.09219793477254,1.96095168184864
"150",1.3850446780254,2.11735135737022
"151",1.94855072396381,1.76228470174562
"152",2.33269503468978,2.03073348539795
"153",1.73720154413603,1.96478097630441
"154",2.47126853823049,1.1911265852481
"155",2.45598886693638,1.14650696453821
"156",1.99682247674102,1.27116688116137
"157",2.57551189815612,1.62696088468314
"158",2.19686094138426,1.682509523931
"159",1.87993503502012,1.56070691436501
"160",1.64998423695997,0.281400810269784
"161",1.51531633122583,2.97737808247273
"162",1.76818406497863,2.50845997245551
"163",2.70261059695801,1.48360263167203
"164",1.24573953491286,1.88332606671417
"165",1.82164382614025,2.13277231557247
"166",1.82170753506219,1.86717528077862
"167",2.04489081335224,2.87886055252416
"168",1.63009633023091,3.17880104696629
"169",2.27647730106451,1.385963421468
"170",1.84250135445546,2.30679709491851
"171",1.89733668424873,2.07158536900677
"172",1.80935018475561,2.51482575978376
"173",1.21356573547285,1.45250866103466
"174",1.53902349506371,2.57870645730004
"175",1.94578696344108,2.6293797298761
"176",1.83538785618387,0.615325115019585
"177",1.30334200441601,1.65738404714579
"178",2.45948660501928,2.34031364902061
"179",1.73476009113002,1.02154730502826
"180",0.924929222881934,1.31006266368519
"181",2.00238170402126,1.87086776252945
"182",0.621509043116761,2.38738453407997
"183",1.11088146886795,2.20204356987043
"184",1.43936150232955,1.35205955958099
"185",1.36723086388276,2.13894257276552
"186",1.09891308371836,0.264507895410379
"187",1.15948491290262,2.1122904305548
"188",1.76125536964431,2.08193641462994
"189",1.95996298460441,0.494738816118439
"190",2.20882973920508,1.46080871494367
"191",0.46364971022282,1.38964934630769
"192",1.36954616652608,0.882818766174264
"193",1.80648343218993,2.38362705974574
"194",2.30162695133184,2.5324983571323
"195",1.82145567265172,1.26333238672147
"196",1.6122586606241,2.83542849900142
"197",1.75422476890453,3.14785458067476
"198",1.72421976777004,1.35033125722086
"199",1.82781053611964,1.73911760511103
"200",1.65329696880553,2.44647209952684
"201",1.00857523885955,1.22615792774908
"202",2.12596129673812,2.3953335918392
"203",2.14020761383746,0.938906751463144
"204",1.73340954645558,2.20224560558972
"205",1.1528487805916,1.09097707655877
"206",1.68594207311365,1.89428615886592
"207",2.40036750707911,1.43730541012899
"208",1.73658567468637,2.35685900541795
"209",2.62205942018562,1.49944177599118
"210",1.86685382605679,2.14073924625116
"211",2.26105693014809,2.12853684490368
"212",2.40711573311594,1.29066299875983
"213",1.57327544034208,2.03691795393433
"214",2.30537573904544,1.73629361377115
"215",1.85933490043283,2.47375963228859
"216",1.78334740921524,2.1659410099763
"217",1.34822512692219,1.46525635189357
"218",1.25824797918681,1.03397556441964
"219",1.50486000040495,1.38995881803296
"220",1.91631497388293,1.76122753489935
"221",1.60332746083056,2.18727745769448
"222",1.61154139602313,2.37982255947932
"223",1.84382913945903,1.40452942848457
"224",1.46048497752724,0.537765901168001
"225",1.81718193894099,2.15061941265279
"226",2.0621933422983,1.95677764457176
"227",1.34523068208106,1.55262618869253
"228",1.90369529537102,2.06045543647404
"229",1.34784347345581,2.34202653385611
"230",1.44384869290602,0.801968965532361
"231",1.81377140979324,1.77279734848719
"232",1.94594671231769,0.663197127024793
"233",2.12811301718928,1.40422828874812
"234",0.836505001576027,1.82223652992803
"235",1.27140107193562,1.32795337437523
"236",1.88247792381051,1.85670990780545
"237",1.53518996925757,0.932148100915934
"238",2.090810374062,2.44244512642765
"239",1.84828517149892,1.49956589428991
"240",1.27373756450964,2.0565540410258
"241",2.47551364947051,0.340300707205053
"242",1.1286123128481,1.21328775168394
"243",0.977112040546768,1.80964115567378
"244",1.60957121656674,1.15791058325763
"245",2.05717489636355,1.48435276077088
"246",2.42094764848593,1.71566133473141
"247",2.00341035042288,2.11380302503678
"248",1.48556890158296,2.68293092393487
"249",2.13365419048205,2.75830573548636
"250",2.2498783217974,1.09937813958441
"251",2.35917976584664,2.20451655009824
"252",2.89280777810418,4.74140762716522
"253",0.927787747508242,2.47489156524984
"254",1.55143698178933,0.732612470893382
"255",1.26680195935931,2.44996607893612
"256",1.50535902813376,2.09190469632996
"257",2.03122922512332,1.17399951497941
"258",1.54852138189917,2.08420744611445
"259",1.73179250711161,2.25173690515366
"260",1.90737807014593,1.58144028900479
"261",0.756944533266897,1.28087535687071
"262",1.38199636233988,2.05928821289715
"263",0.43656273779195,2.03135054775393
"264",0.713394965316937,1.77738811172264
"265",2.17076401177872,0.204062785091295
"266",2.27092322454013,1.87237444716505
"267",1.08019526936229,1.82365313786851
"268",1.49621990852851,1.23207594326309
"269",1.52365886944449,2.96377006637462
"270",1.82334498497021,1.87487374531118
"271",1.95490491779887,1.34886790777838
"272",1.70910527133603,0.698516494092553
"273",1.82897751362669,1.28961724714349
"274",2.63721972891624,1.10270233948926
"275",1.55304629185068,2.23915909899641
"276",0.835399509596603,1.06014321363743
"277",0.826423509735757,1.86873413738551
"278",1.3870129380208,2.03166111358372
"279",2.11342561320524,1.93062155607036
"280",2.16138104117592,2.3574609906491
"281",1.86337193774091,1.46333707821581
